seed,arm,step,L_total,L_struct,L_LM,p_max_mean,dt_step,dt_struct,dt_lm,dt_grad_total
230,logit,63,8.9018,8.9781,-0.0763,0.7925,153.14,20.26,15.67,80.91
230,logit,64,8.8994,8.9756,-0.0763,0.7925,151.28,20.16,15.76,79.99
230,logit,65,8.8968,8.973,-0.0763,0.7926,153.2,20.06,15.83,81.71
230,logit,66,8.8944,8.9706,-0.0763,0.7926,152.86,20.24,15.61,81.58
230,logit,67,8.892,8.9682,-0.0763,0.7927,152.22,20.16,15.72,80.79
230,logit,68,8.8905,8.9668,-0.0762,0.7927,152.32,20.22,15.84,80.66
230,logit,69,8.8879,8.9641,-0.0762,0.7927,151.47,19.69,15.71,80.82
230,logit,70,8.8855,8.9617,-0.0762,0.7928,168.58,20.4,15.66,81.33
230,logit,71,8.8837,8.9599,-0.0762,0.7928,151.71,19.92,15.62,80.39
230,logit,72,8.8812,8.9575,-0.0762,0.7929,153.04,20.05,16.0,81.36
230,logit,73,8.8795,8.9557,-0.0762,0.7929,153.06,20.22,15.96,81.22
230,logit,74,8.8764,8.9526,-0.0762,0.7929,152.25,20.19,15.8,80.55
230,mirror,0,9.2599,9.337,-0.0772,0.787,167.27,20.1,15.46,80.75
230,mirror,1,9.2558,9.3329,-0.0772,0.787,151.9,20.31,15.92,80.22
230,mirror,2,9.2508,9.3279,-0.0771,0.787,152.96,20.46,16.03,80.66
230,mirror,3,9.2468,9.3239,-0.0771,0.7871,152.42,20.09,15.71,81.16
230,mirror,4,9.2428,9.3199,-0.0771,0.7871,153.15,20.37,15.88,80.94
230,mirror,5,9.2376,9.3147,-0.0771,0.7871,153.79,20.3,15.93,81.58
230,mirror,6,9.233,9.3101,-0.0771,0.7871,151.91,20.1,15.49,81.23
230,mirror,7,9.2284,9.3054,-0.0771,0.7871,152.57,20.08,15.83,80.37
230,mirror,8,9.2231,9.3002,-0.0771,0.7872,152.99,20.41,15.68,81.02
230,mirror,9,9.2174,9.2944,-0.0771,0.7872,152.72,20.14,15.72,81.18
230,mirror,10,9.213,9.2901,-0.077,0.7872,168.59,20.2,15.93,81.09
230,mirror,11,9.2074,9.2844,-0.077,0.7872,152.82,19.94,15.57,81.44
230,mirror,12,9.2032,9.2802,-0.077,0.7872,152.52,20.43,15.7,80.58
230,mirror,13,9.1967,9.2737,-0.077,0.7872,153.06,20.04,15.54,81.64
230,mirror,14,9.1914,9.2683,-0.077,0.7873,152.15,20.13,15.52,80.81
230,mirror,15,9.1847,9.2616,-0.077,0.7873,152.25,20.3,15.65,81.01
230,mirror,16,9.1795,9.2565,-0.077,0.7873,151.61,19.96,15.6,80.79
230,mirror,17,9.1725,9.2494,-0.0769,0.7874,153.41,20.44,15.65,81.38
230,mirror,18,9.1668,9.2437,-0.0769,0.7874,153.14,20.25,15.71,81.18
230,mirror,19,9.162,9.2389,-0.0769,0.7874,153.23,20.14,15.68,81.73
230,mirror,20,9.1558,9.2327,-0.0769,0.7875,167.72,20.12,15.68,80.22
230,mirror,21,9.1498,9.2267,-0.0769,0.7875,152.95,20.24,16.02,81.07
230,mirror,22,9.1437,9.2206,-0.0769,0.7875,152.47,20.15,15.44,81.4
230,mirror,23,9.1375,9.2143,-0.0769,0.7876,152.34,20.03,15.77,81.03
230,mirror,24,9.1311,9.2079,-0.0768,0.7876,152.27,20.11,15.71,81.28
230,mirror,25,9.1252,9.2021,-0.0768,0.7876,151.77,19.99,15.58,80.69
230,mirror,26,9.1196,9.1964,-0.0768,0.7877,153.41,20.39,15.71,81.97
230,mirror,27,9.1135,9.1903,-0.0768,0.7877,153.24,20.34,15.76,81.44
230,mirror,28,9.1062,9.183,-0.0768,0.7878,152.73,19.57,15.54,81.57
230,mirror,29,9.1004,9.1772,-0.0768,0.7878,153.2,20.49,15.51,81.49
230,mirror,30,9.0953,9.172,-0.0768,0.7879,169.49,20.24,15.79,81.33
230,mirror,31,9.0891,9.1658,-0.0767,0.7879,153.25,20.02,15.65,82.15
230,mirror,32,9.0845,9.1612,-0.0767,0.788,152.99,20.23,15.71,81.25
230,mirror,33,9.0789,9.1556,-0.0767,0.788,153.16,20.14,15.86,81.37
230,mirror,34,9.0734,9.1501,-0.0767,0.7881,152.76,20.12,16.01,80.75
230,mirror,35,9.0689,9.1456,-0.0767,0.7881,154.15,20.31,15.77,82.01
230,mirror,36,9.0626,9.1392,-0.0767,0.7882,153.77,20.09,15.72,82.15
230,mirror,37,9.0575,9.1342,-0.0767,0.7882,151.56,20.09,15.81,80.08
230,mirror,38,9.0525,9.1291,-0.0766,0.7883,153.94,20.31,15.71,81.65
230,mirror,39,9.0469,9.1236,-0.0766,0.7883,156.91,20.82,16.2,82.88
230,mirror,40,9.0416,9.1182,-0.0766,0.7884,172.5,21.08,16.33,82.28
230,mirror,41,9.0371,9.1137,-0.0766,0.7884,157.01,20.52,16.24,82.96
230,mirror,42,9.0312,9.1078,-0.0766,0.7885,157.73,21.11,16.47,83.33
230,mirror,43,9.0269,9.1035,-0.0766,0.7885,157.82,21.01,16.47,83.05
230,mirror,44,9.0222,9.0988,-0.0766,0.7886,156.95,21.13,16.44,82.73
230,mirror,45,9.0173,9.0939,-0.0766,0.7886,157.29,20.83,16.17,83.42
230,mirror,46,9.0136,9.0902,-0.0765,0.7887,156.09,20.43,16.03,83.37
230,mirror,47,9.0088,9.0853,-0.0765,0.7888,156.87,20.84,16.11,82.97
230,mirror,48,9.0041,9.0807,-0.0765,0.7888,158.12,20.9,16.34,83.59
230,mirror,49,8.9999,9.0764,-0.0765,0.7889,157.52,21.04,16.47,83.21
230,mirror,50,8.9946,9.0711,-0.0765,0.7889,173.53,20.74,16.36,82.83
230,mirror,51,8.9916,9.0681,-0.0765,0.789,156.42,20.77,16.19,83.03
230,mirror,52,8.9867,9.0632,-0.0765,0.789,156.59,20.75,16.05,83.45
230,mirror,53,8.9824,9.0589,-0.0765,0.7891,156.53,21.0,16.46,82.14
230,mirror,54,8.9784,9.0548,-0.0765,0.7891,157.5,21.16,16.36,82.93
230,mirror,55,8.9743,9.0508,-0.0765,0.7892,156.08,20.36,16.01,83.33
230,mirror,56,8.971,9.0474,-0.0764,0.7892,156.48,20.94,16.26,82.41
230,mirror,57,8.9676,9.044,-0.0764,0.7893,156.78,20.89,16.11,83.03
230,mirror,58,8.9635,9.0399,-0.0764,0.7893,157.56,21.1,16.48,82.99
230,mirror,59,8.9592,9.0356,-0.0764,0.7894,158.02,21.03,16.41,83.47
230,mirror,60,8.9552,9.0317,-0.0764,0.7894,174.64,21.15,16.32,83.32
230,mirror,61,8.9528,9.0292,-0.0764,0.7894,157.41,20.67,16.28,83.71
230,mirror,62,8.9488,9.0252,-0.0764,0.7895,157.39,20.61,16.21,83.64
230,mirror,63,8.9444,9.0207,-0.0764,0.7895,157.83,21.13,16.17,83.51
230,mirror,64,8.9415,9.0179,-0.0764,0.7896,156.41,20.68,16.21,83.34
230,mirror,65,8.9376,9.0139,-0.0764,0.7896,156.65,20.91,16.16,82.93
230,mirror,66,8.9347,9.0111,-0.0764,0.7897,157.48,20.56,16.09,83.75
230,mirror,67,8.931,9.0073,-0.0764,0.7897,158.67,20.87,16.44,84.34
230,mirror,68,8.9281,9.0044,-0.0763,0.7898,158.22,20.78,16.24,83.8
230,mirror,69,8.9246,9.001,-0.0763,0.7898,157.69,21.1,16.44,83.22
230,mirror,70,8.9205,8.9968,-0.0763,0.7898,174.36,21.08,16.21,83.2
230,mirror,71,8.9176,8.9939,-0.0763,0.7899,157.94,20.63,16.67,83.97
230,mirror,72,8.9138,8.9901,-0.0763,0.7899,158.67,21.1,16.49,83.67
230,mirror,73,8.9108,8.9871,-0.0763,0.79,158.33,21.12,16.2,83.97
230,mirror,74,8.9079,8.9842,-0.0763,0.79,157.45,20.78,16.36,83.34
230,simplex,0,9.2554,9.3325,-0.0772,0.787,284.26,60.72,34.22,137.77
230,simplex,1,9.1399,9.2169,-0.077,0.7867,152.07,19.88,15.47,81.0
230,simplex,2,9.0582,9.1352,-0.077,0.7862,152.64,20.16,15.69,81.12
230,simplex,3,8.9941,9.071,-0.0769,0.7855,153.6,20.55,15.78,81.62
230,simplex,4,8.944,9.0209,-0.0769,0.7849,152.78,20.31,15.74,81.0
230,simplex,5,8.8995,8.9764,-0.0769,0.7842,151.84,20.32,15.85,79.77
230,simplex,6,8.8555,8.9326,-0.077,0.7835,153.73,20.52,16.05,80.95
230,simplex,7,8.8124,8.8896,-0.0772,0.7828,154.16,20.59,15.91,81.32
230,simplex,8,8.7713,8.8486,-0.0774,0.7822,152.2,20.35,15.85,80.33
230,simplex,9,8.732,8.8096,-0.0775,0.7815,152.36,20.44,15.97,80.54
230,simplex,10,8.6959,8.7736,-0.0777,0.7808,169.22,20.69,15.94,80.5
230,simplex,11,8.6594,8.7373,-0.0778,0.78,152.2,20.15,15.66,80.49
230,simplex,12,8.6232,8.7012,-0.078,0.7792,152.39,20.32,15.89,80.5
230,simplex,13,8.5874,8.6656,-0.0782,0.7784,150.41,19.87,15.46,79.81
